Owner_Name,Owner_Type
STATE OF NEVADA FOREST SERVICE,State
STATE OF NEVADA,State
STATE OF CALIFORNIA THE,State
STATE OF CALIFORNIA (EASEMENT),State
STATE OF CALIFORNIA,State
STATE OF CA,State
REGENTS OF UNIV OF CALIF,State
UNIVERSITY CALIFORNIA REGENTS,State
UNIVERSITY OF NEVADA RENO,State
"NEVADA, STATE OF",State
NEVADA STATE OF,State
CALIFORNIA TAHOE CONSERVANCY ET AL,State
CALIFORNIA TAHOE CONSERVANCY,State
CALIFORNIA STATE OF THE,State
CALIFORNIA STATE OF ET AL,State
CALIFORNIA STATE OF,State
CA STATE DEPT TRANSPORTATION,State
CA TAHOE CONSERVANCY,State
CALIFORNIA STATE OF TAHOE CONSERVANCY,State
CALIFORNIA STATE OF THE,State
NEVADA DEPT OF TRANSPORTATION,State
STATE OF CALIFORNIA & CALIFORNIA TAHOE CONSERVANCY,State
STATE OF CALIFORIA & CALIFORNIA TAHOE CONSERVANCY,State
STATE OF CALIFORNIA & CA TAHOE CONSERVANCY,State
STATE OF CALIFORNIA & CALIFORNIA TAHOE CONSERVANCY CALIFORNIA TAHOE CONSERVANCY,State
STATE OF CALIFORNIA & CALIFORNIA TAHOE CONSEVANCY,State
STATE OF CALIFORNIA & DEPART OF TRANSPORTATION,State
STATE OF CALIFORNIA & DEPARTMENT OF GENERAL SERVIC,State
STATE OF CALIFORNIA & DEPARTMENT OF TRANSPORTATION,State
STATE OF CALIFORNIA & DEPT OF GEN SRVS R E DIV,State
STATE OF CALIFORNIA & DEPT OF GENERAL SERVICES,State
STATE OF CALIFORNIA & DEPT OF PARKS & RECREATION,State
STATE OF CALIFORNIA & DEPT OF TRANSPORTATION,State
STATE OF CALIFORNIA & PARKS & RECREATION,State
STATE OF CALIFORNIA (EASEMENT) & CALIFORNIA TAHOE,State
CALIFORNIA STATE PARKS AND RECREATION,State
CALIFORNIA STATE OF & DEPT GEN SERVICES REAL ESTAT,State
STATE OF CALIFORINA & CALIFORNIA TAHOE CONSERVANCY,State
ZEPHYR COVE GENERAL IMP DIST,Local
WASHOE COUNTY SCHOOL DISTRICT BOARD,Local
WASHOE COUNTY,Local
WASHOE TRIBE OF NV & CA,Local
TALMONT RESORT IMPROVEMENT DISTRICT,Local
TALMONT RESORT IMPR DIST,Local
TALMONT RESORT IMP DISTRICT,Local
TALMONT RESORT IMP DIST,Local
TAHOE PARADISE RESORT IMP DIST,Local
TAHOE PARADISE RES IMP DST,Local
TAHOE TRUCKEE UNIFIED SCHOOL DISTRICT,Local
TAHOE TRUCKEE UNIFIED SCH DIST,Local
TAHOE DOUGLAS FIRE PROTECT DIST,Local
TAHOE DOUGLAS SEWER DIST,Local
TAHOE DOUGLAS DISTRICT,Local
TAHOE CITY PUBLIC UTILITY DISTRICT,Local
TAHOE CITY PUBLIC UTILITY DIST,Local
TAHOE CITY PUBLIC UTILDIST,Local
TAHOE CITY PUB UTILITY DST,Local
TAHOE CITY PUB UTILITY DIS,Local
TAHOE CITY P U D,Local
TAHOE CITY CEMETERY DIST,Local
SOUTH TAHOE REDEVELP AGENCY,Local
SOUTH TAHOE REFUSE CO,Local
SOUTH TAHOE PUD,Local
SOUTH TAHOE PUBLIC UTL DST,Local
SOUTH TAHOE PUBLIC UTILITYDIST,Local
SOUTH TAHOE PUBLIC UTILITY DST,Local
SOUTH TAHOE PUBLIC UTILITY DIS,Local
SOUTH TAHOE PUBLIC UTILITY,Local
SOUTH TAHOE PUBLIC UTIL DT,Local
SOUTH TAHOE PUBLIC UTIL DIST,Local
SOUTH TAHOE PUBLIC,Local
SOUTH TAHOE PUB UTIL DIST,Local
SOUTH LAKE TAHOE CTYOF 1/3,Local
SOUTH LAKE TAHOE CITY OF,Local
SO TAHOE PUBLIC UTILITY DIST,Local
SO TAHOE PUB UTIL DIST,Local
SIERRA NEVADA COLLEGE,Local
ROUND HILL GEN IMP DIST,Local
PLACER COUNTY REDEVELOPMENT AGENCY,Local
PLACER COUNTY OF,Local
PLACER COUNTY,Local
NORTH TAHOE PUBLIC UTL DIST,Local
NORTH TAHOE PUBLIC UTILITY DISTRICT,Local
NORTH TAHOE PUBLIC UTILITY DIST,Local
NORTH TAHOE PUBLIC UTILITY DIS,Local
NORTH TAHOE PUBLIC UTILITIES DIST,Local
NORTH TAHOE PUBLIC UTILIITY DISTRICT,Local
NORTH TAHOE P U D,Local
NORTH TAHOE FIRE PROTECTION DISTRICT,Local
NORTH TAHOE FIRE PROTECTION,Local
NORTH TAHOE FIRE DIST,Local
NORTH LAKE TAHOE FIRE PROTECTION DIST,Local
N TAHOE FIRE PROTECTION DIST,Local
MEEKS BAY FIRE PROT DIST,Local
LAKERIDGE GENERAL IMP DIST,Local
LAKE VALLEY FIRE PROTECTION,Local
LAKE VALLEY FIRE PROT DST,Local
LAKE VALLEY FIRE PROT DIST,Local
LAKE VALLEY FIRE DISTRICT,Local
LAKE TAHOE UNIFIED SCHOOL DIST,Local
LAKE TAHOE SCHOOL,Local
LAKERIDGE GENERAL IMP DIST,Local
LAKE TAHOE FIRE PROTECTION DIST,Local
LAKE TAHOE FIRE PROTECT DIST,Local
LAKE TAHOE COMM COLLEGE DIST,Local
LAKE TAHOE COMM COL DIST,Local
KINGSBURY GENERAL IMP DISTRICT,Local
KINGSBURY GENERAL IMP DIST,Local
INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT,Local
INCLINE VILLAGE GENERAL IMPROVEMENT DIST,Local
DOUGLAS COUNTY SEWER DIST,Local
DOUGLAS COUNTY SCHOOL DIST,Local
DOUGLAS COUNTY,Local
DOUGLAS CO SEWER IMP DIST #1,Local
COUNTY OF EL DORADO,Local
CITY OF SOUTH LAKE TAHOE,Local
EL DORADO IRRIGATION DISTRICT,Local
HAPPY HOMESTEAD CEMETERY DIST,Local
WASHOE TRIBE,Local
SOUTHTAHOE PUBLIC UTILITY DIST,Local
DOUGLAS COUNTY TRUSTEE,Local
DOUGLAS COUNTY TRUSTEE (HOLD),Local
WASHOE TRIBE OF NEVADA AND CALIFORNIA,Local
ALPINE SPRINGS CO WATER DIST,Local
ALPINE SPRINGS COUNTY WATER DISTRICT,Local
ALPINE SPRINGS WATER DISTRICT,Local
NORTHSTAR COMMUNITY SERVICE DISTRICT,Local
SQUAW VALLEY CO WATER DIST,Local
SQUAW VALLEY PUBLIC SERVICE DISTRICT,Local
TRUCKEE TAHOE AIRPORT DISTRICT,Local
COUNTY OF EL DORADO & ATTEN: PAUL MCINTOSH,Local
COUNTY OF EL DORADO & BOARD OF SUPERVISORS,Local
COUNTY OF EL DORADO & BOARD OF SUPERVISORS,Local
COUNTY OF EL DORADO & C/O BOARD OF SUPERVISORS,Local
COUNTY OF EL DORADO & COUNSEL,Local
COUNTY OF EL DORADO & COUNSEL'S OFFICE,Local
COUNTY OF EL DORADO & DEPARTMENT OF PUBLIC WORKS,Local
COUNTY OF EL DORADO & DEPARTMENT OF TRANSPORTATION,Local
COUNTY OF EL DORADO & DEPT OF PUBLIC WORKS,Local
COUNTY OF EL DORADO & DEPT OF TRANSPORTATION,Local
COUNTY OF EL DORADO & GENERAL SERVICES DEPARTMENT,Local
COUNTY OF EL DORADO & OF EL DORADO,Local
COUNTY OF EL DORADO & PUBLIC WORKS DEPARTMENT,Local
EL DORADO CO OFFICE EDUCATION,Local
EL DORADO COUNTY & SUPERINTENDENT OF SCHOOLS,Local
EL DORADO COUNTY & BOARD OF SUPERVISORS,Local
LAKE TAHOE COMMUNITY COLLEGE DIST,Local
LAKE VALLEY FIRE PROTECTION & DISTRICT POLITICAL S,Local
SOUTH TAHOE PUBLIC & UTILITY DISTRICT,Local
SOUTH TAHOE PUBLIC UTILITY &  DISTRIC,Local
SOUTH TAHOE PUBLIC UTIL DIST & CA MUNICIPAL CORP,Local
TAHOE CITY PUBLIC UTIL DST,Local
TAHOE RESOURCE CONSERVATION &  DISTRIC,Local
TAHOE RESOURCE CONSERVATION DIST  C/O DISTRICT MANAGER,Local
FALLEN LEAF COMM SERVICES DIST,Local
FALLEN LEAF LAKE COMM SERVDIST,Local
TAHOE DOUGLAS VISITORS AUTH,Local
KINGSBURY GENARAL IMP DIST,Local
ALPINE SPRINGS CO WTR DIST FIN CORP,Local
COUNTY OF PLACER,Local
MCKINNEY WATER DISTRICT,Local
NORTHSTAR COMMUNITY SERVICES DISTRICT,Local
PLACER COUNTY PUBLIC WORKS,Local
REDEVELOPMENT AGENCY OF THE COUNTY OF PL,Local
TRUCKEE DONNER PUBLIC UTILITY DISTRICT,Local
TRUCKEE SANITARY DISTRICT,Local
TAHOE TRANSPORTATION DISTRICT,Local
PLACER COUNTY OF,Local
CITY OF SOUTH LAKE TAHOE & ATTN: CITY CLERK,Local
